tconst	averageRating	numVotes
tt0000400	6.7	7
tt0000406	6.0	14
tt0000407	3.7	23
tt0000409	5.1	130
tt0000410	6.7	752
tt0000412	4.3	6
tt0000413	5.5	269
tt0000414	5.5	568
tt0000416	5.6	85
tt0000417	8.2	36338
tt0000420	6.3	2045
tt0000423	5.5	143
tt0000425	5.7	6
tt0000430	6.0	517
tt0000432	5.7	136
tt0000436	6.4	376
tt0000437	5.1	142
tt0000439	7.3	14256
tt0000440	5.4	144
tt0000442	4.8	40
tt0000447	6.4	1684
tt0000451	6.7	597
tt0000452	4.6	77
tt0000455	6.9	1460
tt0000456	4.2	33
tt0000459	4.5	45
tt0000464	4.8	291
tt0000465	7.3	895
tt0000469	5.9	738
tt0000471	5.2	343
tt0000472	6.6	10
tt0000479	5.3	281
tt0000480	5.0	125
tt0000487	7.1	313
tt0000488	7.0	580
tt0000491	3.9	36
tt0000492	5.0	54
tt0000495	6.1	71
tt0000496	6.5	28
tt0000497	5.3	24
tt0000498	6.7	850
tt0000499	7.7	2656
tt0000501	4.6	19
tt0000505	8.1	11
tt0000507	3.9	25
tt0000509	6.3	15
tt0000511	7.3	19
tt0000512	4.6	35
tt0000515	4.8	52
tt0000516	6.6	685
tt0000519	5.8	258
tt0000520	7.3	16
tt0000521	5.6	211
tt0000524	5.8	563
tt0000525	5.6	23
tt0000526	4.4	36
tt0000533	7.4	16
tt0000534	6.7	746
tt0000535	5.0	31
tt0000537	3.9	47
tt0000543	4.8	10
tt0000546	6.8	1441
tt0000550	3.8	5
tt0000552	5.7	23
tt0000553	6.6	166
tt0000554	6.2	891
tt0000555	4.9	9
tt0000557	4.7	77
tt0000561	5.3	20
tt0000565	6.4	358
tt0000567	6.8	717
tt0000570	4.0	28
tt0000571	6.8	41
tt0000574	6.3	468
tt0000575	6.0	315
tt0000576	6.0	172
tt0000578	6.8	9
tt0000582	5.2	518
tt0000583	5.6	19
tt0000584	4.8	39
tt0000597	4.9	37
tt0000598	5.1	20
tt0000599	3.8	6
tt0000601	5.8	6
tt0000602	4.9	134
tt0000609	4.1	8
tt0000610	5.0	10
tt0000613	3.7	6
tt0000614	6.6	635
tt0000615	5.1	13
tt0000617	4.3	15
tt0000621	6.5	448
tt0000627	5.8	13
tt0000628	5.7	561
tt0000629	5.7	25
tt0000630	3.1	9
tt0000632	4.9	25
tt0000637	5.6	461
tt0000638	5.1	27
tt0000639	4.9	33
tt0000640	4.4	56
tt0000641	5.2	82
tt0000642	5.5	18
tt0000644	5.5	15
tt0000645	5.3	72
tt0000648	4.7	78
tt0000651	5.1	22
tt0000653	4.5	126
tt0000654	5.5	26
tt0000658	6.5	120
tt0000659	5.0	25
tt0000660	5.9	13
tt0000661	7.0	7
tt0000662	4.6	11
tt0000663	5.6	11
tt0000665	5.8	11
tt0000666	5.6	19
tt0000668	6.9	17
tt0000669	4.7	90
tt0000671	5.8	8
tt0000672	6.4	9
tt0000674	4.5	22
tt0000675	4.8	8
tt0000676	4.1	7
tt0000679	5.9	25
tt0000680	5.9	10
tt0000681	5.3	7
tt0000682	6.9	1768
tt0000683	5.6	32
tt0000684	5.1	49
tt0000685	5.9	11
tt0000689	6.6	13
tt0000690	6.6	9
tt0000694	5.1	14
tt0000695	5.9	15
tt0000697	5.6	5
tt0000698	5.4	5
tt0000699	6.4	5
tt0000700	5.3	35
tt0000704	5.7	7
tt0000706	5.0	9
tt0000707	5.4	5
tt0000708	4.8	5
tt0000709	5.8	14
tt0000713	5.2	5
tt0000717	6.0	5
tt0000720	6.8	5
tt0000722	4.7	6
tt0000724	5.2	29
tt0000727	7.2	5
tt0000728	5.8	55
tt0000730	6.2	18
tt0000731	4.9	8
tt0000733	5.9	12
tt0000738	7.8	10
tt0000739	6.9	7
tt0000740	5.6	5
tt0000746	8.3	6
tt0000747	5.2	6
tt0000748	5.9	9
tt0000749	5.7	554
tt0000752	5.4	62
tt0000754	7.1	34
tt0000755	5.7	124
tt0000756	5.4	68
tt0000758	6.0	16
tt0000759	7.6	7
tt0000764	6.2	72
tt0000767	7.2	5
tt0000769	5.2	94
tt0000770	5.8	74
tt0000771	6.1	8
tt0000772	6.8	5
tt0000775	7.5	6
tt0000776	5.0	26
tt0000781	6.3	7
tt0000782	7.8	14
tt0000784	5.2	5
tt0000785	5.7	21
tt0000787	5.8	6
tt0000789	5.1	16
tt0000790	6.2	223
tt0000792	4.9	14
tt0000793	4.9	7
tt0000797	5.5	62
tt0000798	4.0	7
tt0000800	5.3	25
tt0000801	5.2	12
tt0000807	4.9	11
tt0000809	6.3	20
tt0000815	4.9	11
tt0000816	4.7	45
tt0000817	3.2	9
tt0000819	5.5	12
tt0000821	4.7	35
tt0000823	4.6	11
tt0000825	4.7	10
tt0000826	4.7	9
tt0000827	5.2	11
tt0000828	5.2	37
tt0000829	4.5	11
tt0000831	5.2	55
tt0000832	6.7	1792
tt0000833	6.5	423
tt0000835	5.0	66
tt0000836	4.7	30
tt0000837	5.0	8
tt0000840	5.6	208
tt0000841	5.7	10
tt0000843	5.8	8
tt0000844	7.4	7
tt0000845	4.9	9
tt0000847	5.9	8
tt0000848	5.7	12
tt0000851	5.3	9
tt0000852	5.7	106
tt0000853	5.7	7
tt0000854	6.1	296
tt0000855	5.7	7
tt0000857	5.2	6
tt0000858	5.2	6
tt0000860	5.3	10
tt0000861	5.3	10
tt0000862	5.0	8
tt0000864	6.0	10
tt0000866	6.6	5
tt0000870	5.4	12
tt0000871	5.6	39
tt0000873	5.8	6
tt0000874	5.1	8
tt0000875	4.7	7
tt0000877	4.9	30
tt0000878	4.8	94
tt0000880	6.2	26
tt0000882	5.9	115
tt0000884	3.5	6
tt0000886	5.3	15
tt0000887	4.4	17
tt0000890	7.3	13
tt0000891	5.4	16
tt0000892	5.7	29
tt0000893	6.9	11
tt0000895	5.7	101
tt0000897	7.2	8
tt0000898	5.4	5
tt0000904	5.4	73
tt0000908	6.1	8
tt0000910	5.3	6
tt0000911	3.2	6
tt0000912	4.5	24
tt0000916	6.5	37
tt0000921	6.4	5
tt0000922	5.8	54
tt0000924	6.3	101
tt0000928	5.5	55
tt0000929	5.5	29
tt0000930	4.6	5
tt0000932	3.2	5
tt0000933	5.1	16
tt0000934	4.6	5
tt0000935	5.9	35
tt0000936	7.4	24
tt0000938	4.3	112
